etf_id,date,dividend_per_unit,currency
BIL,2007-07-02,0.406,USD
BIL,2007-08-01,0.37,USD
BIL,2007-09-04,0.354,USD
BIL,2007-10-01,0.32,USD
BIL,2007-11-01,0.302,USD
BIL,2007-12-03,0.278,USD
BIL,2007-12-28,0.258,USD
BIL,2008-02-01,0.23,USD
BIL,2008-03-03,0.174,USD
BIL,2008-04-01,0.14,USD
BIL,2008-05-01,0.108,USD
BIL,2008-06-02,0.094,USD
BIL,2008-07-01,0.112,USD
BIL,2008-08-01,0.132,USD
BIL,2008-09-02,0.126,USD
BIL,2008-10-01,0.126,USD
BIL,2008-11-03,0.094,USD
BIL,2008-12-01,0.052,USD
BIL,2008-12-29,0.056,USD
BIL,2009-02-02,0.016,USD
BIL,2009-03-02,0.014,USD
BIL,2009-04-01,0.016,USD
BIL,2009-05-01,0.01,USD
BIL,2009-06-01,0.008,USD
BIL,2009-07-01,0.002,USD
BIL,2009-08-03,0.004,USD
BIL,2009-09-01,0.004,USD
BIL,2009-10-01,0.004,USD
BIL,2009-11-02,0.002,USD
BIL,2009-12-29,0.008,USD
BIL,2011-12-28,0.004,USD
BIL,2016-12-01,0.042,USD
BIL,2016-12-28,0.018,USD
BIL,2017-02-01,0.026,USD
BIL,2017-03-01,0.024,USD
BIL,2017-04-03,0.028,USD
BIL,2017-05-01,0.034,USD
BIL,2017-06-01,0.054,USD
BIL,2017-07-03,0.05,USD
BIL,2017-08-01,0.064,USD
BIL,2017-09-01,0.066,USD
BIL,2017-10-02,0.064,USD
BIL,2017-11-01,0.07,USD
BIL,2017-12-01,0.066,USD
BIL,2017-12-19,0.082,USD
BIL,2018-02-01,0.086,USD
BIL,2018-03-01,0.079,USD
BIL,2018-04-02,0.105,USD
BIL,2018-05-01,0.107,USD
BIL,2018-06-01,0.126,USD
BIL,2018-07-02,0.127,USD
BIL,2018-08-01,0.135,USD
BIL,2018-09-04,0.138,USD
BIL,2018-10-01,0.146,USD
BIL,2018-11-01,0.15,USD
BIL,2018-12-03,0.157,USD
BIL,2018-12-19,0.16,USD
BIL,2019-02-01,0.179,USD
BIL,2019-03-01,0.17,USD
BIL,2019-04-01,0.176,USD
BIL,2019-05-01,0.174,USD
BIL,2019-06-03,0.176,USD
BIL,2019-07-01,0.165,USD
BIL,2019-08-01,0.155,USD
BIL,2019-09-03,0.168,USD
BIL,2019-10-01,0.137,USD
BIL,2019-11-01,0.139,USD
BIL,2019-12-02,0.117,USD
BIL,2019-12-20,0.115,USD
BIL,2020-02-03,0.108,USD
BIL,2020-03-02,0.097,USD
BIL,2020-04-01,0.052,USD
BIL,2020-05-01,0.014,USD
BIL,2020-12-01,0.003,USD
BIL,2022-03-01,0.022,USD
BIL,2022-06-01,0.031,USD
BIL,2022-07-01,0.053,USD
BIL,2022-08-01,0.097,USD
BIL,2022-09-01,0.139,USD
BIL,2022-10-03,0.155,USD
BIL,2022-11-01,0.208,USD
BIL,2022-12-01,0.26,USD
BIL,2022-12-19,0.271,USD
BIL,2023-02-01,0.336,USD
BIL,2023-03-01,0.255,USD
BIL,2023-04-03,0.372,USD
BIL,2023-05-01,0.353,USD
BIL,2023-06-01,0.371,USD
BIL,2023-07-03,0.373,USD
BIL,2023-08-01,0.394,USD
BIL,2023-09-01,0.405,USD
BIL,2023-10-02,0.394,USD
BIL,2023-11-01,0.408,USD
BIL,2023-12-01,0.419,USD
BIL,2023-12-18,0.421,USD
BIL,2024-02-01,0.406,USD
BIL,2024-03-01,0.355,USD
BIL,2024-04-01,0.405,USD
BIL,2024-05-01,0.388,USD
BIL,2024-06-03,0.405,USD
BIL,2024-07-01,0.392,USD
BIL,2024-08-01,0.402,USD
BIL,2024-09-03,0.396,USD
BIL,2024-10-01,0.371,USD
BIL,2024-11-01,0.359,USD
BIL,2024-12-02,0.335,USD
BIL,2024-12-19,0.383,USD
BIL,2025-02-03,0.326,USD
BIL,2025-03-03,0.289,USD
BIL,2025-04-01,0.321,USD
BIL,2025-05-01,0.312,USD
BIL,2025-06-02,0.316,USD
BIL,2025-07-01,0.306,USD
BIL,2025-08-01,0.319,USD
BILS,2022-06-01,0.07,USD
BILS,2022-07-01,0.11,USD
BILS,2022-08-01,0.131,USD
BILS,2022-09-01,0.172,USD
BILS,2022-10-03,0.198,USD
BILS,2022-11-01,0.283,USD
BILS,2022-12-01,0.327,USD
BILS,2022-12-19,0.311,USD
BILS,2023-02-01,0.416,USD
BILS,2023-03-01,0.343,USD
BILS,2023-04-03,0.392,USD
BILS,2023-05-01,0.38,USD
BILS,2023-06-01,0.402,USD
BILS,2023-07-03,0.405,USD
BILS,2023-08-01,0.427,USD
BILS,2023-09-01,0.435,USD
BILS,2023-10-02,0.425,USD
BILS,2023-11-01,0.446,USD
BILS,2023-12-01,0.434,USD
BILS,2023-12-18,0.434,USD
BILS,2024-02-01,0.454,USD
BILS,2024-03-01,0.404,USD
BILS,2024-04-01,0.43,USD
BILS,2024-05-01,0.417,USD
BILS,2024-06-03,0.434,USD
BILS,2024-07-01,0.424,USD
BILS,2024-08-01,0.437,USD
BILS,2024-09-03,0.429,USD
BILS,2024-10-01,0.408,USD
BILS,2024-11-01,0.395,USD
BILS,2024-12-02,0.367,USD
BILS,2024-12-19,0.368,USD
BILS,2025-02-03,0.365,USD
BILS,2025-03-03,0.322,USD
BILS,2025-04-01,0.352,USD
BILS,2025-05-01,0.337,USD
BILS,2025-06-02,0.347,USD
BILS,2025-07-01,0.334,USD
BILS,2025-08-01,0.346,USD
BWX,2007-11-01,0.028,USD
BWX,2007-12-03,0.041,USD
BWX,2007-12-28,0.089,USD
BWX,2008-02-01,0.072,USD
BWX,2008-03-03,0.0605,USD
BWX,2008-04-01,0.0645,USD
BWX,2008-05-01,0.0775,USD
BWX,2008-06-02,0.0735,USD
BWX,2008-07-01,0.0705,USD
BWX,2008-08-01,0.0555,USD
BWX,2008-09-02,0.0885,USD
BWX,2008-10-01,0.0665,USD
BWX,2008-11-03,0.063,USD
BWX,2008-12-01,0.061,USD
BWX,2008-12-29,0.057,USD
BWX,2009-02-02,0.061,USD
BWX,2009-03-02,0.0545,USD
BWX,2009-12-29,0.13,USD
BWX,2010-02-01,0.0825,USD
BWX,2010-12-29,0.183,USD
BWX,2011-06-01,0.062,USD
BWX,2011-07-01,0.0625,USD
BWX,2011-08-01,0.102,USD
BWX,2011-09-01,0.1445,USD
BWX,2011-10-03,0.127,USD
BWX,2011-11-01,0.1435,USD
BWX,2011-12-01,0.272,USD
BWX,2011-12-28,0.0715,USD
BWX,2012-02-01,0.0475,USD
BWX,2012-03-01,0.046,USD
BWX,2012-04-02,0.048,USD
BWX,2012-05-01,0.046,USD
BWX,2012-06-01,0.0525,USD
BWX,2012-07-02,0.0475,USD
BWX,2012-08-01,0.045,USD
BWX,2012-09-04,0.0215,USD
BWX,2012-10-01,0.049,USD
BWX,2012-12-03,0.089,USD
BWX,2012-12-27,0.0715,USD
BWX,2013-02-01,0.05,USD
BWX,2013-03-01,0.083,USD
BWX,2013-04-01,0.035,USD
BWX,2013-05-01,0.0235,USD
BWX,2013-06-03,0.0415,USD
BWX,2013-07-01,0.038,USD
BWX,2013-08-01,0.0185,USD
BWX,2013-09-03,0.0325,USD
BWX,2013-10-01,0.056,USD
BWX,2013-11-01,0.059,USD
BWX,2013-12-02,0.051,USD
BWX,2013-12-27,0.0535,USD
BWX,2014-02-03,0.0075,USD
BWX,2014-03-03,0.042,USD
BWX,2014-04-01,0.049,USD
BWX,2014-05-01,0.028,USD
BWX,2014-06-02,0.028,USD
BWX,2014-07-01,0.039,USD
BWX,2014-09-02,0.0335,USD
BWX,2014-10-01,0.0245,USD
BWX,2014-11-03,0.0105,USD
BWX,2014-12-29,0.2285,USD
BWX,2017-09-01,0.026,USD
BWX,2017-10-02,0.027,USD
BWX,2017-11-01,0.026,USD
BWX,2017-12-01,0.027,USD
BWX,2017-12-19,0.024,USD
BWX,2018-02-01,0.022,USD
BWX,2018-03-01,0.024,USD
BWX,2018-04-02,0.024,USD
BWX,2018-05-01,0.02,USD
BWX,2018-06-01,0.023,USD
BWX,2018-07-02,0.021,USD
BWX,2018-08-01,0.026,USD
BWX,2018-09-04,0.025,USD
BWX,2018-10-01,0.027,USD
BWX,2018-11-01,0.056,USD
BWX,2018-12-03,0.027,USD
BWX,2018-12-19,0.027,USD
BWX,2019-02-01,0.027,USD
BWX,2019-03-01,0.026,USD
BWX,2019-04-01,0.038,USD
BWX,2019-05-01,0.027,USD
BWX,2019-06-03,0.029,USD
BWX,2019-07-01,0.026,USD
BWX,2019-08-01,0.028,USD
BWX,2019-09-03,0.026,USD
BWX,2019-10-01,0.026,USD
BWX,2019-11-01,0.027,USD
BWX,2019-12-02,0.027,USD
BWX,2019-12-20,0.027,USD
BWX,2020-02-03,0.027,USD
BWX,2020-03-02,0.025,USD
BWX,2020-04-01,0.029,USD
BWX,2020-05-01,0.024,USD
BWX,2020-06-01,0.026,USD
BWX,2020-07-01,0.028,USD
BWX,2020-08-03,0.023,USD
BWX,2020-09-01,0.023,USD
BWX,2020-10-01,0.022,USD
BWX,2020-11-02,0.023,USD
BWX,2020-12-01,0.023,USD
BWX,2020-12-18,0.023,USD
BWX,2021-02-01,0.022,USD
BWX,2021-03-01,0.02,USD
BWX,2021-04-01,0.022,USD
BWX,2021-05-03,0.021,USD
BWX,2021-06-01,0.023,USD
BWX,2021-07-01,0.021,USD
BWX,2021-08-02,0.021,USD
BWX,2021-09-01,0.023,USD
BWX,2021-10-01,0.021,USD
BWX,2021-11-01,0.044,USD
BWX,2021-12-01,0.022,USD
BWX,2021-12-17,0.022,USD
BWX,2022-02-01,0.022,USD
BWX,2022-03-01,0.022,USD
BWX,2022-04-01,0.017,USD
BWX,2022-05-02,0.022,USD
BWX,2022-06-01,0.022,USD
BWX,2022-07-01,0.023,USD
